t,l,S,P_l
0.0,0.05,1.0,3.475814927224774e-18
0.002004008016032064,0.05497748874437219,0.9837591587062509,3.8023981320064035e-17
0.004008016032064128,0.05995497748874437,0.9260550712206269,3.169939707148211e-16
0.006012024048096192,0.06493246623311656,0.8457605051314999,2.113592680979662e-15
0.008016032064128256,0.06990995497748874,0.7641875984995864,1.1694745227068334e-14
0.01002004008016032,0.07488744372186093,0.6927411518580641,5.526475745353833e-14
0.012024048096192385,0.07986493246623312,0.633827330270556,2.281928380384506e-13
0.014028056112224449,0.0848424212106053,0.5856620754219549,8.385595902578367e-13
0.01603206412825651,0.08981990995497749,0.5457082870198162,2.783945482384473e-12
0.018036072144288578,0.09479739869934968,0.511890648804501,8.454071249579094e-12
0.02004008016032064,0.09977488744372186,0.4827247900949289,2.3727044317559408e-11
0.022044088176352707,0.10475237618809405,0.457174852969215,6.208418821689107e-11
0.02404809619238477,0.10972986493246624,0.4345080572050858,1.5257951084431935e-10
0.026052104208416832,0.11470735367683842,0.41419247099789014,3.544418701303002e-10
0.028056112224448898,0.11968484242121061,0.3958310834875022,7.825346002617538e-10
0.03006012024048096,0.12466233116558278,0.3791198133184663,1.6498088851595561e-9
0.03206412825651302,0.129639819909955,0.3638203881805883,3.3352991389581207e-9
0.03406813627254509,0.13461730865432717,0.34974240682542396,6.489122439504144e-9
0.036072144288577156,0.13959479739869934,0.3367311526163513,1.2189319420296857e-8
0.03807615230460922,0.14457228614307155,0.32465909188686415,2.2169125295695905e-8
0.04008016032064128,0.14954977488744373,0.31341979390762126,3.9137256093386e-8
0.04208416833667335,0.1545272636318159,0.3029234836512206,6.721786531904403e-8
0.04408817635270541,0.15950475237618808,0.2930937227574817,1.1254076653815833e-7
0.04609218436873747,0.16448224112056029,0.28386488788967956,1.8401610317594801e-7
0.04809619238476954,0.16945972986493246,0.27518022439116896,2.943306460676976e-7
0.050100200400801605,0.17443721860930464,0.26699032277511797,4.6120508633297257e-7
0.052104208416833664,0.17941470735367684,0.25925191119925867,7.089528606982651e-7
0.05410821643286573,0.18439219609804902,0.2519268876265452,1.0703810258565583e-6
0.056112224448897796,0.1893696848424212,0.24498153624994068,1.5890723581419865e-6
0.05811623246492986,0.1943471735867934,0.23838588729748067,2.3220851153850587e-6
0.06012024048096192,0.19932466233116558,0.23211318963289138,3.3431027347234515e-6
0.06212424849699399,0.20430215107553776,0.22613947297889367,4.746060184826898e-6
0.06412825651302605,0.20927963981990996,0.22044318200145072,6.649266829261424e-6
0.06613226452905811,0.21425712856428214,0.21500486849587286,9.200037625441413e-6
0.06813627254509018,0.21923461730865432,0.2098069309123094,1.2579835460292271e-5
0.07014028056112225,0.22421210605302652,0.20483339272649814,1.70099176244024e-5
0.07214428857715431,0.2291895947973987,0.2000697128962718,2.2757469092505554e-5
0.07414829659318638,0.23416708354177088,0.1955026229833405,3.0142194667741125e-5
0.07615230460921844,0.23914457228614308,0.19111998656255738,3.954333142543069e-5
0.0781563126252505,0.24412206103051526,0.186910677359422,5.140703252196203e-5
0.08016032064128256,0.24909954977488744,0.18286447320403648,6.625406356784538e-5
0.08216432865731463,0.2540770385192596,0.17897196340549887,8.468774363490872e-5
0.0841683366733467,0.2590545272636318,0.175224467564309,0.00010740205478521827
0.08617234468937876,0.264032016008004,0.1716139641740887,0.0001351898369535627
0.08817635270541083,0.26900950475237617,0.16813302763478533,0.0001689509792331753
0.09018036072144289,0.2739869934967484,0.16477477252058945,0.00020970051421776475
0.09218436873747494,0.2789644822411206,0.1615328041271594,0.0002585765191177849
0.09418837675350701,0.28394197098549273,0.15840117447227464,0.00031684772593555216
0.09619238476953908,0.28891945972986494,0.15537434304790085,0.0003859207430582115
0.09819639278557114,0.29389694847423714,0.15244714172470558,0.00046734679218330354
0.10020040080160321,0.2988744372186093,0.1496147432961772,0.0005628278674731919
0.10220440881763528,0.3038519259629815,0.1468726332217412,0.0006742222281600785
0.10420841683366733,0.3088294147073537,0.14421658418911038,0.0008035491413886638
0.1062124248496994,0.31380690345172585,0.1416426331675317,0.0009529927987664317
0.10821643286573146,0.31878439219609805,0.13914706066721755,0.0011249053377550354
0.11022044088176353,0.32376188094047026,0.13672637195737344,0.00132180890753316
0.11222444889779559,0.3287393696848424,0.13437728002693747,0.0015463967281376314
0.11422845691382766,0.3337168584292146,0.13209669009929512,0.0018015331013883067
0.11623246492985972,0.3386943471735868,0.12988168553555732,0.0020902523421668963
0.11823647294589178,0.34367183591795897,0.1277295149810783,0.0024157566088964066
0.12024048096192384,0.3486493246623312,0.12563758062724772,0.0027814126224089512
0.12224448897795591,0.3536268134067034,0.12360342747561961,0.0031907472726546544
0.12424849699398798,0.3586043021510755,0.1216247335044924,0.003647442122764251
0.12625250501002003,0.36358179089544773,0.11969930064941446,0.0041553268297124775
0.1282565130260521,0.36855927963981994,0.11782504651899824,0.004718371510132824
0.13026052104208416,0.3735367683841921,0.11599999677609406,0.005340678088613056
0.13226452905811623,0.3785142571285643,0.11422227812196727,0.006026470673973392
0.1342685370741483,0.3834917458729365,0.1124901118277924,0.0067800850165311375
0.13627254509018036,0.38846923461730865,0.11080180776364838,0.0076059571061311395
0.13827655310621242,0.39344672336168085,0.10915575888037177,0.008508610976731433
0.1402805611222445,0.398424212106053,0.10755043610419839,0.009492645788551538
0.14228456913827656,0.4034017008504252,0.1059843836081705,0.010562722263197526
0.14428857715430862,0.4083791895947974,0.10445621442787326,0.011723548550772886
0.1462925851703407,0.41335667833916956,0.10296460639225302,0.012979865610769005
0.14829659318637275,0.41833416708354176,0.10150829834310394,0.014336432190520337
0.15030060120240482,0.42331165582791397,0.10008608661933784,0.01579800948622813
0.1523046092184369,0.4282891445722861,0.09869682178440702,0.01736934557203534
0.15430861723446893,0.4332666333166583,0.09733940557726725,0.01905515968240671
0.156312625250501,0.4382441220610305,0.09601278806907276,0.020860126432174324
0.15831663326653306,0.4432216108054027,0.09471596500941552,0.02278886005709896
0.16032064128256512,0.4481990995497749,0.09344797534737344,0.024845898755712015
0.1623246492985972,0.4531765882941471,0.09220789891394066,0.027035689210600712
0.16432865731462926,0.45815407703851924,0.09099485425358966,0.029362571364229352
0.16633266533066132,0.46313156578289144,0.08980799659377607,0.03183076352090318
0.1683366733466934,0.46810905452726365,0.08864651594215564,0.03444434784263545
0.17034068136272545,0.4730865432716358,0.08750963530214828,0.037207256302526276
0.17234468937875752,0.478064032016008,0.08639660899826848,0.04012325715485153
0.1743486973947896,0.4830415207603802,0.08530672110335052,0.04319594197644225
0.17635270541082165,0.48801900950475235,0.08423928396044202,0.04642871332916873
0.17835671342685372,0.49299649824912456,0.08319363679272387,0.04982477308845618
0.18036072144288579,0.49797398699349676,0.08216914439534628,0.053387111477810625
0.18236472945891782,0.5029514757378689,0.08116519590355475,0.05711849684436194
0.1843687374749499,0.5079289644822411,0.08018120363192115,0.06102146620546564
0.18637274549098196,0.5129064532266133,0.0792166019798966,0.06509831659149329
0.18837675350701402,0.5178839419709855,0.07827084639927052,0.06935109720510778
0.1903807615230461,0.5228614307153577,0.0773434124194554,0.07378160241259553
0.19238476953907815,0.5278389194597298,0.07643379472682386,0.07839136557823827
