t,l,S,P_l
0.0,0.05,1.0,5.492754254478786e-76
0.002004008016032064,0.05497748874437219,0.9659994634129533,5.847381937057796e-73
0.004008016032064128,0.05995497748874437,0.7694454000618486,2.998558358851672e-70
0.006012024048096192,0.06493246623311656,0.4328199074861929,8.404174593103488e-68
0.008016032064128256,0.06990995497748874,0.15387488979860436,1.4183704162130191e-65
0.01002004008016032,0.07488744372186093,0.03313169874626539,1.5550532311442432e-63
0.012024048096192385,0.07986493246623312,0.004748033456775803,1.1765637724805521e-61
0.014028056112224449,0.0848424212106053,0.0006276133454961954,6.451158448581972e-60
0.01603206412825651,0.08981990995497749,0.00011575550643868933,2.668210364120559e-58
0.018036072144288578,0.09479739869934968,3.286555915827896e-5,8.605952480354647e-57
0.02004008016032064,0.09977488744372186,1.2655670920384152e-5,2.2257215176485943e-55
0.022044088176352707,0.10475237618809405,5.914136334640358e-6,4.7256956462778686e-54
0.02404809619238477,0.10972986493246624,3.1406367609919726e-6,8.404417142535524e-53
0.026052104208416832,0.11470735367683842,1.8232307723508093e-6,1.2737731170602204e-51
0.028056112224448898,0.11968484242121061,1.1296428588629267e-6,1.6699513695127633e-50
0.03006012024048096,0.12466233116558278,7.354167884560907e-7,1.918615490252536e-49
0.03206412825651302,0.129639819909955,4.977493316006292e-7,1.9538307188153605e-48
0.03406813627254509,0.13461730865432717,3.476346712467573e-7,1.78135696703423e-47
0.036072144288577156,0.13959479739869934,2.491743581792001e-7,1.4669912290745035e-46
0.03807615230460922,0.14457228614307155,1.8254777863335863e-7,1.0998536117150979e-45
0.04008016032064128,0.14954977488744373,1.3626297638121782e-7,7.560015892395118e-45
0.04208416833667335,0.1545272636318159,1.0337944289539237e-7,4.79426875429719e-44
0.04408817635270541,0.15950475237618808,7.95582254741116e-8,2.8209093860549878e-43
0.04609218436873747,0.16448224112056029,6.200529612951431e-8,1.5478808583168822e-42
0.04809619238476954,0.16945972986493246,4.8874715555258517e-8,7.957403225312005e-42
0.050100200400801605,0.17443721860930464,3.8919212599221415e-8,3.8486570254118805e-41
0.052104208416833664,0.17941470735367684,3.1279124929444255e-8,1.7579485988778532e-40
0.05410821643286573,0.18439219609804902,2.5351365929653904e-8,7.609788782761001e-40
0.056112224448897796,0.1893696848424212,2.0706072687333676e-8,3.1317726020047876e-39
0.05811623246492986,0.1943471735867934,1.7032421991836838e-8,1.2289269676912082e-38
0.06012024048096192,0.19932466233116558,1.4102714496447478e-8,4.61046445282375e-38
0.06212424849699399,0.20430215107553776,1.1748145188419047e-8,1.6577483080226254e-37
0.06412825651302605,0.20927963981990996,9.842194168199409e-9,5.725820119961741e-37
0.06613226452905811,0.21425712856428214,8.289073620594429e-9,1.9037825174205747e-36
0.06813627254509018,0.21923461730865432,7.015583382242531e-9,6.105278202621898e-36
0.07014028056112225,0.22421210605302652,5.965298135730228e-9,1.8918600248098423e-35
0.07214428857715431,0.2291895947973987,5.094371101564923e-9,5.674132466665142e-35
0.07414829659318638,0.23416708354177088,4.368472439706164e-9,1.649749293753284e-34
0.07615230460921844,0.23914457228614308,3.760533398245827e-9,4.656713790893824e-34
0.0781563126252505,0.24412206103051526,3.2490687858914336e-9,1.2778425738015274e-33
0.08016032064128256,0.24909954977488744,2.8169187125788845e-9,3.413233662464433e-33
0.08216432865731463,0.2540770385192596,2.450297149483817e-9,8.885153537655937e-33
0.0841683366733467,0.2590545272636318,2.138067001875565e-9,2.2566338985715082e-32
0.08617234468937876,0.264032016008004,1.871183796276953e-9,5.597727302611095e-32
0.08817635270541083,0.26900950475237617,1.642265864784881e-9,1.3575210420855614e-31
0.09018036072144289,0.2739869934967484,1.4452601305754346e-9,3.2215880138905735e-31
0.09218436873747494,0.2789644822411206,1.2751806494913076e-9,7.487951032130202e-31
0.09418837675350701,0.28394197098549273,1.1279028882313022e-9,1.7060228011842816e-30
0.09619238476953908,0.28891945972986494,1.0000009691493616e-9,3.8130691319376974e-30
0.09819639278557114,0.29389694847423714,8.886182351809487e-10,8.366677895263655e-30
0.10020040080160321,0.2988744372186093,7.913638009754689e-10,1.8035289119308164e-29
0.10220440881763528,0.3038519259629815,7.062294802922647e-10,3.821834565366461e-29
0.10420841683366733,0.3088294147073537,6.315227733645577e-10,7.966569811748894e-29
0.1062124248496994,0.31380690345172585,5.658125747488441e-10,1.6344796663042855e-28
0.10821643286573146,0.31878439219609805,5.078850041631677e-10,3.3024878004674816e-28
0.11022044088176353,0.32376188094047026,4.5670732964823034e-10,6.574899126945805e-28
0.11222444889779559,0.3287393696848424,4.1139838777392536e-10,1.2904592984344085e-27
0.11422845691382766,0.3337168584292146,3.7120424179005156e-10,2.49814311420464e-27
0.11623246492985972,0.3386943471735868,3.354780794930455e-10,4.772088442309173e-27
0.11823647294589178,0.34367183591795897,3.036635559923719e-10,8.999300520337541e-27
0.12024048096192384,0.3486493246623312,2.752809459003891e-10,1.6761010233339023e-26
0.12224448897795591,0.3536268134067034,2.4991559484112505e-10,3.0842993022285734e-26
0.12424849699398798,0.3586043021510755,2.2720825923948814e-10,5.609751195071879e-26
0.12625250501002003,0.36358179089544773,2.0684700195453133e-10,1.0088344893291231e-25
0.1282565130260521,0.36855927963981994,1.8856037393295356e-10,1.7944732424667546e-25
0.13026052104208416,0.3735367683841921,1.7211166212540102e-10,3.158200717262777e-25
0.13226452905811623,0.3785142571285643,1.5729402408998017e-10,5.501319468185623e-25
0.1342685370741483,0.3834917458729365,1.4392636207110734e-10,9.487488342167609e-25
0.13627254509018036,0.38846923461730865,1.3184981549827291e-10,1.6203924224907991e-24
0.13827655310621242,0.39344672336168085,1.2092477205939903e-10,2.7415474566677994e-24
0.1402805611222445,0.398424212106053,1.1102831475798132e-10,4.5961588959832016e-24
0.14228456913827656,0.4034017008504252,1.0205203644358537e-10,7.637133430447574e-24
0.14428857715430862,0.4083791895947974,9.390016483012247e-11,1.2580841996424987e-23
0.1462925851703407,0.41335667833916956,8.648795047707201e-11,2.0551176714488234e-23
0.14829659318637275,0.41833416708354176,7.974027799717436e-11,3.3297450430317735e-23
0.15030060120240482,0.42331165582791397,7.359046718336068e-11,5.352151436152396e-23
0.1523046092184369,0.4282891445722861,6.797923606916956e-11,8.536525030551269e-23
0.15430861723446893,0.4332666333166583,6.285380235291882e-11,1.3513190142351013e-22
0.156312625250501,0.4382441220610305,5.816710328975575e-11,2.1234602878353225e-22
0.15831663326653306,0.4432216108054027,5.387711721961986e-11,3.3130057801067758e-22
0.16032064128256512,0.4481990995497749,4.9946272460465364e-11,5.133001150667815e-22
0.1623246492985972,0.4531765882941471,4.634093144221916e-11,7.898927452050911e-22
0.16432865731462926,0.45815407703851924,4.303093975924271e-11,1.2074975191134957e-21
0.16633266533066132,0.46313156578289144,3.998923133593696e-11,1.8339897361353297e-21
0.1683366733466934,0.46810905452726365,3.7191482179506826e-11,2.7680172094127094e-21
0.17034068136272545,0.4730865432716358,3.461580627521784e-11,4.152104159195735e-21
0.17234468937875752,0.478064032016008,3.2242488095249717e-11,6.190979149859023e-21
0.1743486973947896,0.4830415207603802,3.0053746969358794e-11,9.177069306514116e-21
0.17635270541082165,0.48801900950475235,2.8033529226273115e-11,1.352577333755014e-20
0.17835671342685372,0.49299649824912456,2.6167324577551842e-11,1.9824009685237964e-20
0.18036072144288579,0.49797398699349676,2.4442003695933792e-11,2.8896695747005645e-20
0.18236472945891782,0.5029514757378689,2.2845674350810566e-11,4.189732838912621e-20
0.1843687374749499,0.5079289644822411,2.1367553815113623e-11,6.043080418463518e-20
0.18637274549098196,0.5129064532266133,1.9997855559582454e-11,8.671916440382932e-20
0.18837675350701402,0.5178839419709855,1.8727688509616734e-11,1.2382423012014108e-19
0.1903807615230461,0.5228614307153577,1.7548967363046606e-11,1.7594529996370878e-19
0.19238476953907815,0.5278389194597298,1.6454332659514917e-11,2.488154560814123e-19
0.19438877755511022,0.532816408204102,1.5437079458257724e-11,3.5022685741860553e-19
0.1963927855711423,0.5377938969484742,1.4491093624700204e-11,4.907240553711128e-19
0.19839679358717435,0.5427713856928464,1.3610794850677686e-11,6.845152877817673e-19
0.20040080160320642,0.5477488744372186,1.279108564098072e-11,9.50665432542777e-19
0.20240480961923848,0.5527263631815907,1.2027305592631955e-11,1.3146514865500285e-18
0.20440881763527055,0.557703851925963,1.1315190374809916e-11,1.8103828715917566e-18
0.20641282565130262,0.5626813406703352,1.0650834888325847e-11,2.482815510802273e-18
0.20841683366733466,0.5676588294147074,1.0030660145475472e-11,3.3913216145757758e-18
0.21042084168336672,0.5726363181590796,9.451383465158567e-12,4.614017836440948e-18
0.2124248496993988,0.5776138069034518,8.909991625441314e-12,6.253304545697553e-18
0.21442885771543085,0.5825912956478239,8.403716657133305e-12,8.442930363056822e-18
0.21643286573146292,0.5875687843921961,7.930013998241631e-12,1.1356971127914303e-17
0.218436873747495,0.5925462731365683,7.486542761016127e-12,1.5221203840863818e-17
0.22044088176352705,0.5975237618809405,7.071147891289759e-12,2.0327467068461002e-17
0.22244488977955912,0.6025012506253127,6.681844024442938e-12,2.7051733586347476e-17
0.22444889779559118,0.6074787393696849,6.316800864009943e-12,3.587678309521168e-17
0.22645290581162325,0.612456228114057,5.97432992807097e-12,4.7420557837181393e-17
0.22845691382765532,0.6174337168584292,5.652872525456481e-12,6.247151788274786e-17
0.23046092184368738,0.6224112056028014,5.350988838710629e-12,8.203259273408058e-17
0.23246492985971945,0.6273886943471736,5.067348003959791e-12,1.0737565978667753e-16
0.23446893787575152,0.6323661830915458,4.800719089521506e-12,1.401088774469905e-16
0.23647294589178355,0.637343671835918,4.5499628854517204e-12,1.8225967207592658e-16
0.23847695390781562,0.6423211605802901,4.314024425424139e-12,2.3637673577475573e-16
0.24048096192384769,0.6472986493246623,4.091926170504078e-12,3.05655050511104e-16
0.24248496993987975,0.6522761380690345,3.882761791642341e-12,3.9408872938398014e-16
0.24448897795591182,0.6572536268134067,3.685690494179034e-12,5.066573764024048e-16
0.24649298597194388,0.6622311155577789,3.49993183340599e-12,6.49552732992766e-16
0.24849699398797595,0.6672086043021511,3.3247609753714374e-12,8.304536263738786e-16
0.250501002004008,0.6721860930465232,3.1595043616935786e-12,1.0588586889093492e-15
0.25250501002004005,0.6771635817908954,3.003535741243638e-12,1.3464880090191892e-15
0.2545090180360721,0.6821410705352676,2.856272535219397e-12,1.707766837524292e-15
0.2565130260521042,0.6871185592796398,2.717172505405661e-12,2.1604067469958486e-15
0.25851703406813625,0.692096048024012,2.585730698351877e-12,2.72610226907834e-15
0.2605210420841683,0.6970735367683842,2.461476640826784e-12,3.431364064310037e-15
0.2625250501002004,0.7020510255127563,2.3439717642691693e-12,4.308513164819839e-15
0.26452905811623245,0.7070285142571285,2.2328070380720305e-12,5.396864832779531e-15
0.2665330661322645,0.7120060030015007,2.127600793440846e-12,6.744135163771906e-15
0.2685370741482966,0.716983491745873,2.027996721278359e-12,8.408108808832055e-15
0.27054108216432865,0.7219609804902452,1.9336620290888103e-12,1.0458612174398563e-14
0.2725450901803607,0.7269384692346174,1.8442857432820854e-12,1.2979843277089465e-14
0.2745490981963928,0.7319159579789895,1.759577144508905e-12,1.607311718085377e-14
0.27655310621242485,0.7368934467233617,1.6792643247863307e-12,1.9860094738629788e-14
0.2785571142284569,0.7418709354677339,1.6030928561912292e-12,2.4486572321178543e-14
0.280561122244489,0.7468484242121061,1.5308245618192814e-12,3.012692147614729e-14
0.28256513026052105,0.7518259129564783,1.4622363805387353e-12,3.6989280167272426e-14
0.2845691382765531,0.7568034017008505,1.3971193178204071e-12,4.53216115572778e-14
0.2865731462925852,0.7617808904452226,1.3352774756064606e-12,5.5418762393397166e-14
0.28857715430861725,0.7667583791895948,1.2765271547973985e-12,6.763067112210272e-14
0.2905811623246493,0.771735867933967,1.2206960244959263e-12,8.237189610678312e-14
0.2925851703406814,0.7767133566783392,1.1676223526535982e-12,1.0013265697370116e-13
0.29458917835671344,0.7816908454227114,1.1171542932265704e-12,1.214916074113047e-13
0.2965931863727455,0.7866683341670836,1.069149225364967e-12,1.4713058595955277e-13
0.2985971943887776,0.7916458229114557,1.0234731405404092e-12,1.7785162273399783e-13
0.30060120240480964,0.7966233116558279,9.800000738618765e-13,2.1459651494102937e-13
0.3026052104208417,0.8016008004002001,9.386115761445733e-13,2.5846932278619687e-13
0.3046092184368738,0.8065782891445723,8.991962235828215e-13,3.107621803120071e-13
0.3066132264529058,0.8115557778889445,8.616491621388962e-13,3.7298486320583495e-13
0.30861723446893785,0.8165332666333167,8.258716839975397e-13,4.468986081005807e-13
0.3106212424849699,0.8215107553776888,7.917708336528461e-13,5.345547357865602e-13
0.312625250501002,0.826488244122061,7.592590413921527e-13,6.383386945287701e-13
0.31462925851703405,0.8314657328664332,7.282537821224178e-13,7.610202098350594e-13
0.3166332665330661,0.8364432216108054,6.986772576497355e-13,9.058103040769956e-13
0.3186372745490982,0.8414207103551776,6.704561006736669e-13,1.076426033886772e-12
0.32064128256513025,0.8463981990995497,6.435210988962201e-13,1.2771638858368169e-12
0.3226452905811623,0.8513756878439219,6.178069377717272e-13,1.5129828721843787e-12
0.3246492985971944,0.8563531765882941,5.932519605396564e-13,1.789598479098646e-12
0.32665330661322645,0.8613306653326663,5.697979442884475e-13,2.113588740487941e-12
0.3286573146292585,0.8663081540770385,5.473898908957052e-13,2.4925138420521054e-12
0.3306613226452906,0.8712856428214107,5.259758317792435e-13,2.935050803283168e-12
0.33266533066132264,0.8762631315657828,5.055066454753046e-13,3.451144940647819e-12
0.3346693386773547,0.881240620310155,4.859358871353974e-13,4.0521799839724045e-12
0.3366733466933868,0.8862181090545272,4.672196291021932e-13,4.751168901019128e-12
0.33867735470941884,0.8911955977988995,4.4931631178832946e-13,5.56296768333844e-12
0.3406813627254509,0.8961730865432717,4.321866041402696e-13,6.5045145606974086e-12
0.342685370741483,0.9011505752876439,4.1579327302299033e-13,7.595097342748331e-12
0.34468937875751504,0.906128064032016,4.001010609106238e-13,8.856651836192693e-12
0.3466933867735471,0.9111055527763882,3.850765713136167e-13,1.0314094554631878e-11
0.3486973947895792,0.9160830415207604,3.7068816141482785e-13,1.199569322773799e-11
0.35070140280561124,0.9210605302651326,3.5690584142555923e-13,1.3933478927533701e-11
