t,l,S,P_l
0.0,0.05,1.0,6.512736134642961e-116
0.002004008016032064,0.05497748874437219,0.9672592485631064,5.616533432826452e-111
0.004008016032064128,0.05995497748874437,0.7841583539725175,1.45359269525624e-106
0.006012024048096192,0.06493246623311656,0.4724537182785383,1.3913095598228255e-102
0.008016032064128256,0.06990995497748874,0.19830330187243178,5.780641414172508e-99
0.01002004008016032,0.07488744372186093,0.05807410548998546,1.181773561158512e-95
0.012024048096192385,0.07986493246623312,0.01301113544574273,1.3135482291286866e-92
0.014028056112224449,0.0848424212106053,0.0026883401524083984,8.60511187064824e-90
0.01603206412825651,0.08981990995497749,0.0006271320144415822,3.549574369496233e-87
0.018036072144288578,0.09479739869934968,0.00018240751658009512,9.738726830288606e-85
0.02004008016032064,0.09977488744372186,6.557260933363486e-5,1.8606466476927933e-82
0.022044088176352707,0.10475237618809405,2.7833920822137435e-5,2.573402835478511e-80
0.02404809619238477,0.10972986493246624,1.337165396917981e-5,2.6631342123583025e-78
0.026052104208416832,0.11470735367683842,7.046046088872043e-6,2.1215426315616472e-76
0.028056112224448898,0.11968484242121061,3.983758507983755e-6,1.3333610056674263e-74
0.03006012024048096,0.12466233116558278,2.379636783474859e-6,6.753987271086225e-73
0.03206412825651302,0.129639819909955,1.4852686211238864e-6,2.8093772718825796e-71
0.03406813627254509,0.13461730865432717,9.609102055768246e-7,9.755328544711303e-70
0.036072144288577156,0.13959479739869934,6.40532955633493e-7,2.869275740042348e-68
0.03807615230460922,0.14457228614307155,4.379246728227202e-7,7.241205489896816e-67
0.04008016032064128,0.14954977488744373,3.059965108938887e-7,1.5862091044122694e-65
0.04208416833667335,0.1545272636318159,2.1790772104910172e-7,3.0471931820098214e-64
0.04408817635270541,0.15950475237618808,1.5779179529310306e-7,5.181484594478509e-63
0.04609218436873747,0.16448224112056029,1.1597025809701738e-7,7.864152170369153e-62
0.04809619238476954,0.16945972986493246,8.637549647396606e-8,1.073434127845594e-60
0.050100200400801605,0.17443721860930464,6.511093687546119e-8,1.3267910264345352e-59
0.052104208416833664,0.17941470735367684,4.9620221829887576e-8,1.4943163304646046e-58
0.05410821643286573,0.18439219609804902,3.8193924591067326e-8,1.5422930955629617e-57
0.056112224448897796,0.1893696848424212,2.9669145974917958e-8,1.4663440004805724e-56
0.05811623246492986,0.1943471735867934,2.324237203229585e-8,1.2903911260860891e-55
0.06012024048096192,0.19932466233116558,1.8350481032952798e-8,1.0556673708635683e-54
0.06212424849699399,0.20430215107553776,1.4593667864510046e-8,8.061314538717146e-54
0.06412825651302605,0.20927963981990996,1.1684670217103417e-8,5.7673306721794965e-53
0.06613226452905811,0.21425712856428214,9.414800725948114e-9,3.879082259231094e-52
0.06813627254509018,0.21923461730865432,7.630897547805545e-9,2.4606664941181036e-51
0.07014028056112225,0.22421210605302652,6.219477604942615e-9,1.4764902780449916e-50
0.07214428857715431,0.2291895947973987,5.095708758488316e-9,8.403421125607063e-50
0.07414829659318638,0.23416708354177088,4.195648463866791e-9,4.548208726582049e-49
0.07615230460921844,0.23914457228614308,3.4707236321910666e-9,2.3464920488928534e-48
0.0781563126252505,0.24412206103051526,2.8837657325703786e-9,1.1565360258987741e-47
0.08016032064128256,0.24909954977488744,2.4061366007088147e-9,5.457134026330477e-47
0.08216432865731463,0.2540770385192596,2.01562679303562e-9,2.4699135163285744e-46
0.0841683366733467,0.2590545272636318,1.6949062549373004e-9,1.0742462629910643e-45
0.08617234468937876,0.264032016008004,1.4303733325692534e-9,4.497544779373117e-45
0.08817635270541083,0.26900950475237617,1.21129346846802e-9,1.8155003226148422e-44
0.09018036072144289,0.2739869934967484,1.0291502162306859e-9,7.076598588257394e-44
0.09218436873747494,0.2789644822411206,8.771530285889224e-10,2.6673505514405558e-43
0.09418837675350701,0.28394197098549273,7.498616214706768e-10,9.735256395303833e-43
0.09619238476953908,0.28891945972986494,6.428976044590394e-10,3.4449114792197006e-42
0.09819639278557114,0.29389694847423714,5.527218536674245e-10,1.1832955752456787e-41
0.10020040080160321,0.2988744372186093,4.764617127774673e-10,3.9498965033803895e-41
0.10220440881763528,0.3038519259629815,4.1177617924130425e-10,1.2826906890914591e-40
0.10420841683366733,0.3088294147073537,3.5675020776992586e-10,4.056428459532033e-40
0.1062124248496994,0.31380690345172585,3.0981145166099887e-10,1.2504616150974557e-39
0.10821643286573146,0.31878439219609805,2.696643824124941e-10,3.760964347761033e-39
0.11022044088176353,0.32376188094047026,2.352379343415354e-10,1.1046076493095481e-38
0.11222444889779559,0.3287393696848424,2.0564372436957807e-10,3.170705013382901e-38
0.11422845691382766,0.3337168584292146,1.8014257750655666e-10,8.901928067971001e-38
0.11623246492985972,0.3386943471735868,1.581176036608502e-10,2.4463458231961172e-37
0.11823647294589178,0.34367183591795897,1.390524633519313e-10,6.58516761993422e-37
0.12024048096192384,0.3486493246623312,1.2251375960671687e-10,1.7375057841311174e-36
0.12224448897795591,0.3536268134067034,1.0813672356684507e-10,4.496532740013811e-36
0.12424849699398798,0.3586043021510755,9.561353902046769e-11,1.1420633169436189e-35
0.12625250501002003,0.36358179089544773,8.468378879508922e-11,2.84852691646294e-35
0.1282565130260521,0.36855927963981994,7.512661314470413e-11,6.980935838365072e-35
0.13026052104208416,0.3735367683841921,6.675425403979944e-11,1.6819182468939185e-34
0.13226452905811623,0.3785142571285643,5.940672499666696e-11,3.9858290748827e-34
0.1342685370741483,0.3834917458729365,5.294739784612668e-11,9.295443161520406e-34
0.13627254509018036,0.38846923461730865,4.725933875726377e-11,2.1343479856212665e-33
0.13827655310621242,0.39344672336168085,4.2242258287171226e-11,4.827269843551767e-33
0.1402805611222445,0.398424212106053,3.7809966060579654e-11,1.0758917471465446e-32
0.14228456913827656,0.4034017008504252,3.388824131327408e-11,2.3640028688115804e-32
0.14428857715430862,0.4083791895947974,3.041304706128477e-11,5.122882019361623e-32
0.1462925851703407,0.41335667833916956,2.7329028940939908e-11,1.0953054759825234e-31
0.14829659318637275,0.41833416708354176,2.4588250472418048e-11,2.3113823403487495e-31
0.15030060120240482,0.42331165582791397,2.214912515620976e-11,4.815915009293683e-31
0.1523046092184369,0.4282891445722861,1.997551283065703e-11,9.910721843536849e-31
0.15430861723446893,0.4332666333166583,1.803595342521543e-11,2.0150904928643223e-30
0.156312625250501,0.4382441220610305,1.6303015896146932e-11,4.0493434484971176e-30
0.15831663326653306,0.4432216108054027,1.4752743933776374e-11,8.044672650376844e-30
0.16032064128256512,0.4481990995497749,1.3364183146337122e-11,1.5804978466883041e-29
0.1623246492985972,0.4531765882941471,1.2118976985088436e-11,3.0715999609722325e-29
0.16432865731462926,0.45815407703851924,1.100102078318804e-11,5.906628417721989e-29
0.16633266533066132,0.46313156578289144,9.996165020603797e-12,1.1241745142295396e-28
0.1683366733466934,0.46810905452726365,9.091960366692521e-12,2.1181549667463174e-28
0.17034068136272545,0.4730865432716358,8.277438245513638e-12,3.9520153778762743e-28
0.17234468937875752,0.478064032016008,7.542921660650104e-12,7.303310232582091e-28
0.1743486973947896,0.4830415207603802,6.879861842133513e-12,1.3370908808199903e-27
0.17635270541082165,0.48801900950475235,6.280696967188034e-12,2.4257086486649262e-27
0.17835671342685372,0.49299649824912456,5.738729782715121e-12,4.361603190501923e-27
0.18036072144288579,0.49797398699349676,5.248021440190905e-12,7.77452166534269e-27
0.18236472945891782,0.5029514757378689,4.8032992588807115e-12,1.3740688153223225e-26
0.1843687374749499,0.5079289644822411,4.399876474079866e-12,2.4084355013491185e-26
0.18637274549098196,0.5129064532266133,4.033582314239163e-12,4.187309316745567e-26
0.18837675350701402,0.5178839419709855,3.700700993210471e-12,7.222502817492303e-26
0.1903807615230461,0.5228614307153577,3.397918408795164e-12,1.2361459053888763e-25
0.19238476953907815,0.5278389194597298,3.1222755123740776e-12,2.099691017053896e-25
0.19438877755511022,0.532816408204102,2.8711274616867153e-12,3.540109555384582e-25
0.1963927855711423,0.5377938969484742,2.642107794002475e-12,5.925479362051841e-25
0.19839679358717435,0.5427713856928464,2.4330969634798e-12,9.84789617866347e-25
0.20040080160320642,0.5477488744372186,2.2421946773543095e-12,1.6253327897440192e-24
0.20240480961923848,0.5527263631815907,2.067695543169822e-12,2.664303689670122e-24
0.20440881763527055,0.557703851925963,1.9080676056063957e-12,4.338400113705087e-24
0.20641282565130262,0.5626813406703352,1.761933408277927e-12,7.0184300444723e-24
0.20841683366733466,0.5676588294147074,1.6280532646061086e-12,1.1281663860062885e-23
0.21042084168336672,0.5726363181590796,1.5053104637375537e-12,1.802128612939021e-23
0.2124248496993988,0.5776138069034518,1.3926981734767579e-12,2.8610989808599676e-23
0.21442885771543085,0.5825912956478239,1.2893078332203546e-12,4.5151058153939184e-23
0.21643286573146292,0.5875687843921961,1.1943188566264977e-12,7.083418680597598e-23
0.218436873747495,0.5925462731365683,1.106989486853766e-12,1.104862819909816e-22
0.22044088176352705,0.5975237618809405,1.0266486671802837e-12,1.7136156516208528e-22
0.22244488977955912,0.6025012506253127,9.526888071101971e-13,2.6430531765680593e-22
0.22444889779559118,0.6074787393696849,8.845593390695243e-13,4.0544533943303587e-22
0.22645290581162325,0.612456228114057,8.217609738088576e-13,6.186398856824686e-22
0.22845691382765532,0.6174337168584292,7.638405739413982e-13,9.390025451827453e-22
0.23046092184368738,0.6224112056028014,7.103865748861294e-13,1.4179527548691435e-21
0.23246492985971945,0.6273886943471736,6.610248910585308e-13,2.130417181745627e-21
0.23446893787575152,0.6323661830915458,6.154152526271705e-13,3.1850491105511496e-21
0.23647294589178355,0.637343671835918,5.732479246813978e-13,4.738662944201455e-21
0.23847695390781562,0.6423211605802901,5.342407663599471e-13,7.016528991399961e-21
0.24048096192384769,0.6472986493246623,4.981365924815763e-13,1.0340779471625999e-20
0.24248496993987975,0.6522761380690345,4.647008045906893e-13,1.5169992068227396e-20
0.24448897795591182,0.6572536268134067,4.3371926216420347e-13,2.2154110304899775e-20
0.24649298597194388,0.6622311155577789,4.049963680904302e-13,3.221031887795307e-20
0.24849699398797595,0.6672086043021511,3.78353345486836e-13,4.662743138899127e-20
0.250501002004008,0.6721860930465232,3.536266855233559e-13,6.720891556821048e-20
0.25250501002004005,0.6771635817908954,3.306667482066576e-13,9.646806722697462e-20
0.2545090180360721,0.6821410705352676,3.093365000975576e-13,1.3789329244594216e-19
0.2565130260521042,0.6871185592796398,2.8951037471264946e-13,1.9630727879824616e-19
0.25851703406813625,0.692096048024012,2.710732429316928e-13,2.7835142603736944e-19
0.2605210420841683,0.6970735367683842,2.5391948212007404e-13,3.931367654447813e-19
0.2625250501002004,0.7020510255127563,2.379521339030869e-13,5.53115357092881e-19
0.26452905811623245,0.7070285142571285,2.2308214161536018e-13,7.752426108010937e-19
0.2665330661322645,0.7120060030015007,2.0922765941150923e-13,1.0825221262867084e-18
0.2685370741482966,0.716983491745873,1.9631342587784195e-13,1.5060517360909673e-18
0.27054108216432865,0.7219609804902452,1.842701957427016e-13,2.087724011558505e-18
0.2725450901803607,0.7269384692346174,1.7303422395613466e-13,2.883778481238367e-18
0.2745490981963928,0.7319159579789895,1.625467970079808e-13,3.9694585920833966e-18
0.27655310621242485,0.7368934467233617,1.527538068859222e-13,5.4450969506054085e-18
0.2785571142284569,0.7418709354677339,1.4360536354914063e-13,7.444041219639525e-18
0.280561122244489,0.7468484242121061,1.3505544221575766e-13,1.0142944634875633e-17
0.28256513026052105,0.7518259129564783,1.2706156213905687e-13,1.3775084840982292e-17
0.2845691382765531,0.7568034017008505,1.1958449388383249e-13,1.8647549203093126e-17
0.2865731462925852,0.7617808904452226,1.1258799241463496e-13,2.516334190732162e-17
0.28857715430861725,0.7667583791895948,1.0603855357623737e-13,3.384973768766904e-17
0.2905811623246493,0.771735867933967,9.990519178687919e-14,4.539454057328512e-17
0.2925851703406814,0.7767133566783392,9.415923697990343e-14,6.069231768532286e-17
0.29458917835671344,0.7816908454227114,8.877414902206193e-14,8.090318468906282e-17
0.2965931863727455,0.7866683341670836,8.372534800947791e-14,1.075273412130977e-16
0.2985971943887776,0.7916458229114557,7.899005899719853e-14,1.4249931548843006e-16
0.30060120240480964,0.7966233116558279,7.454716985736568e-14,1.8830680634188672e-16
0.3026052104208417,0.8016008004002001,7.037710108598717e-14,2.4814014159384706e-16
0.3046092184368738,0.8065782891445723,6.646168649061561e-14,3.260797452485303e-16
0.3066132264529058,0.8115557778889445,6.278406379228206e-14,4.273306693497528e-16
0.30861723446893785,0.8165332666333167,5.932857426597787e-14,5.585152562547897e-16
0.3106212424849699,0.8215107553776888,5.6080670625895664e-14,7.280374194865729e-16
0.312625250501002,0.826488244122061,5.302683243546444e-14,9.46534943822471e-16
0.31462925851703405,0.8314657328664332,5.015448838879819e-14,1.2274396986136933e-15
0.3166332665330661,0.8364432216108054,4.745194487025551e-14,1.5876698384261425e-15
0.3186372745490982,0.8414207103551776,4.4908320253059694e-14,2.0484830552920327e-15
0.32064128256513025,0.8463981990995497,4.2513484446942396e-14,2.6365258904556277e-15
0.3226452905811623,0.8513756878439219,4.025800324908448e-14,3.3851211765771012e-15
0.3246492985971944,0.8563531765882941,3.813308709270913e-14,4.335844056001901e-15
0.32665330661322645,0.8613306653326663,3.6130543823959974e-14,5.540446928544647e-15
0.3286573146292585,0.8663081540770385,3.424273517054932e-14,7.063205378450172e-15
0.3306613226452906,0.8712856428214107,3.246253659543089e-14,8.98377090793e-15
0.33266533066132264,0.8762631315657828,3.078330025574109e-14,1.1400632499974413e-14
0.3346693386773547,0.881240620310155,2.9198820811735217e-14,1.4435308030417424e-14
0.3366733466933868,0.8862181090545272,2.770330385266738e-14,1.8237408787270088e-14
0.33867735470941884,0.8911955977988995,2.6291336726742293e-14,2.2990746333974207e-14
0.3406813627254509,0.8961730865432717,2.4957861580603136e-14,2.892068124065111e-14
0.342685370741483,0.9011505752876439,2.3698150430488358e-14,3.630294844821444e-14
0.34468937875751504,0.906128064032016,2.2507782102351864e-14,4.547423495416098e-14
0.3466933867735471,0.9111055527763882,2.138262089203817e-14,5.684483294052984e-14
0.3486973947895792,0.9160830415207604,2.031879680916693e-14,7.091374633379076e-14
0.35070140280561124,0.9210605302651326,1.9312687279825205e-14,8.828669213987198e-14
0.3527054108216433,0.9260380190095048,1.8360900193595944e-14,1.0969751091070641e-13
